source,size,result,duration,disambiguationDuration,errorSize
|std:///analysis/grammars/Dependency.rsc?deletedChar=0|,1070,recovery,0,2,341
|std:///analysis/grammars/Dependency.rsc?deletedChar=1|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=2|,1070,success,6,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=3|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=4|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=5|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=6|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=7|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=8|,1070,recovery,0,2,272
|std:///analysis/grammars/Dependency.rsc?deletedChar=9|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=10|,1070,success,6,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=11|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=12|,1070,success,7,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=13|,1070,success,6,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=14|,1070,success,6,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=15|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=16|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=17|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=18|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=19|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=20|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=21|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=22|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=23|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=24|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=25|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=26|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=27|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=28|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=29|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=30|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=31|,1070,success,7,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=32|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=33|,1070,success,6,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=34|,1070,success,6,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=35|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=36|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=37|,1070,success,6,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=38|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=39|,1070,success,6,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=40|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=41|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=42|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=43|,1070,success,10,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=44|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=45|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=46|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=47|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=48|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=49|,1070,success,6,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=50|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=51|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=52|,1070,success,6,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=53|,1070,success,6,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=54|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=55|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=56|,1070,success,7,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=57|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=58|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=59|,1070,success,7,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=60|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=61|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=62|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=63|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=64|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=65|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=66|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=67|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=68|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=69|,1070,success,6,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=70|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=71|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=72|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=73|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=74|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=75|,1070,success,6,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=76|,1070,success,6,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=77|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=78|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=79|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=80|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=81|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=82|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=83|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=84|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=85|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=86|,1070,success,6,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=87|,1070,success,6,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=88|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=89|,1070,success,6,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=90|,1070,success,6,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=91|,1070,success,6,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=92|,1070,success,3,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=93|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=94|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=95|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=96|,1070,success,11,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=97|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=98|,1070,success,6,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=99|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=100|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=101|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=102|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=103|,1070,success,6,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=104|,1070,success,6,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=105|,1070,success,7,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=106|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=107|,1070,success,7,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=108|,1070,success,6,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=109|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=110|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=111|,1070,success,6,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=112|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=113|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=114|,1070,success,3,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=115|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=116|,1070,success,3,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=117|,1070,success,3,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=118|,1070,success,3,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=119|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=120|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=121|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=122|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=123|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=124|,1070,success,6,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=125|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=126|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=127|,1070,success,3,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=128|,1070,success,3,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=129|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=130|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=131|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=132|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=133|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=134|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=135|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=136|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=137|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=138|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=139|,1070,success,7,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=140|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=141|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=142|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=143|,1070,success,6,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=144|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=145|,1070,success,7,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=146|,1070,success,6,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=147|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=148|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=149|,1070,success,6,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=150|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=151|,1070,success,10,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=152|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=153|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=154|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=155|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=156|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=157|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=158|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=159|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=160|,1070,success,3,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=161|,1070,success,6,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=162|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=163|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=164|,1070,success,6,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=165|,1070,success,6,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=166|,1070,success,6,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=167|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=168|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=169|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=170|,1070,success,6,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=171|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=172|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=173|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=174|,1070,success,5,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=175|,1070,success,4,-1,0
|std:///analysis/grammars/Dependency.rsc?deletedChar=176|,1070,success,5,-1,0
