Town,Npeople2013,Npeople2012,Extend
Alkmaar,94505,94269,29
Almere,195213,193163,129
Almelo,72729,72757,67
Amersfoort,149662,148240,62
Amstelveen,84379,83363,41
Amsterdam,799278,790110,165
Apeldoorn,157315,156961,339
Arnhem,149827,149271,97
Assen,67204,67208,81
Breda,178140,176401,126
Delft,99097,98675,22
DenHaag,505856,502055,81
Deventer,98581,98672,131
Eindhoven,218433,217225,87
Enschede,158627,158048,141
Groningen,195418,193127,78
Haarlem,153093,151818,29
Hengelo,80952,80939,60
Hilversum,86017,85537,45
Leeuwarden,95949,95321,78
Leiden,119800,118748,21
Maastricht,121819,121050,56
Middelburg,47523,47768,48
Nijmegen,166382,165182,53
Rotterdam,616294,616260,208
DenBosch,142817,141893,84
Tilburg,208527,207580,117
Utrecht,321916,316275,94
Zwolle,122562,121527,111